Time,Vout
1,85.0
2,0.092
3,0.088
4,0.149
5,0.123
6,0.13
7,0.122
8,0.109
9,0.103
10,0.104
11,0.114
12,0.049
13,0.107
14,0.087
15,0.078
16,0.085
17,0.046
18,0.088
19,0.085
20,0.092
21,0.088
22,0.149
23,0.123
24,0.13
25,0.122
26,0.109
27,0.103
28,0.104
29,0.114
30,0.049
31,0.107
32,0.087
33,0.092
34,0.095
35,0.094
36,0.06
37,0.116
38,0.121
39,0.143
40,0.134
41,0.172
42,0.226
43,0.134
44,0.116
45,0.106
46,0.077
47,0.083
48,0.066
49,0.122
50,0.117
51,0.133
52,0.132
53,0.159
54,0.13
55,0.118
56,0.112
57,0.084
58,0.095
59,0.065
60,0.112
61,0.069
62,0.125
63,0.137
64,0.109
65,0.136
66,0.183
67,0.267
68,0.108
69,0.138
70,0.132
71,0.105
72,0.076
73,0.042
74,0.116
75,0.117
76,0.083
77,0.12
78,0.13
79,0.221
80,0.139
81,0.145
82,0.135
83,0.125
84,0.125
85,0.04
86,0.107
87,0.096
88,0.099
89,0.114
90,0.129
91,0.186
92,0.177
93,0.146
94,0.129
95,0.099
96,0.099
97,0.182
98,0.064
99,0.134
100,0.127
101,0.138
102,0.147
103,0.132
104,0.266
105,0.177
106,0.205
107,0.178
108,0.186
109,0.186
110,0.119
111,0.175
112,0.192
113,0.173
114,0.182
115,0.254
116,0.385
117,0.239
118,0.256
119,0.233
120,0.215
121,0.194
122,0.198
123,0.153
124,0.216
125,0.199
126,0.208
127,0.217
128,0.283
129,0.293
130,0.232
131,0.227
132,0.201
133,0.2
134,0.196
135,0.124
136,0.211
137,0.216
138,0.205
139,0.196
140,0.225
141,0.28
142,0.236
143,0.215
144,0.213
145,0.197
146,0.21
147,0.174
148,0.135
149,0.196
150,0.18
151,0.228
152,0.211
153,0.212
154,0.288
155,0.23
156,0.209
157,0.219
158,0.164
159,0.196
160,0.114
161,0.198
162,0.182
163,0.197
164,0.188
165,0.217
166,0.258
167,0.217
